0,1325
2.12E-15,1325
954.9296586,1325
1909.859317,1325
2864.788976,1325
3819.718634,1100
4774.648293,880
5729.577951,733.3333335
6684.50761,628.5714285
7639.437268,550
8594.366927,488.8888889
9549.296586,440
10504.22624,400
11459.1559,366.6666667
2.12E-15,-1325
954.9296586,-1325
1909.859317,-1325
2864.788976,-1325
3819.718634,-1100
4774.648293,-880
5729.577951,-733.3333335
6684.50761,-628.5714285
7639.437268,-550
8594.366927,-488.8888889
9549.296586,-440
10504.22624,-400
11459.1559,-366.6666667
